"","time","record_id","date","lat","long"
"257",17:45:00,"1-7",2025-08-05,-6.175039,106.803076
"258",18:00:00,"1-7",2025-08-05,-6.178732,106.79752
"259",18:15:00,"1-7",2025-08-05,-6.166415,106.786267
"260",18:30:00,"1-7",2025-08-05,-6.168309,106.76416
"261",18:45:00,"1-7",2025-08-05,-6.192384,106.770684
"262",19:00:00,"1-7",2025-08-05,-6.193135,106.771458
"263",19:30:00,"1-7",2025-08-05,-6.193176,106.771369
"264",20:00:00,"1-7",2025-08-05,-6.19327,106.771351
"265",20:15:00,"1-7",2025-08-05,-6.193108,106.771529
"266",20:30:00,"1-7",2025-08-05,-6.193182,106.771582
"267",21:30:00,"1-7",2025-08-05,-6.193157,106.771529
"268",01:30:00,"1-10",2025-08-07,-6.188571,106.862211
"269",03:00:00,"1-10",2025-08-07,-6.188571,106.862211
"270",05:00:00,"1-10",2025-08-07,-6.188571,106.862211
"271",06:15:00,"1-10",2025-08-07,-6.188571,106.862211
"272",06:30:00,"1-10",2025-08-07,-6.183299,106.863751
"273",07:15:00,"1-10",2025-08-07,-6.1808561288297,106.861521093439
"274",07:30:00,"1-10",2025-08-07,-6.18081873589417,106.860982680598
"275",08:15:00,"1-10",2025-08-07,-6.175943,106.865895
"276",09:00:00,"1-10",2025-08-06,-6.18085918500935,106.861565098737
"277",09:15:00,"1-10",2025-08-06,-6.18081027497871,106.86086085377
"278",09:30:00,"1-10",2025-08-06,-6.18081739972931,106.860963441457
"279",09:45:00,"1-10",2025-08-06,-6.181589,106.860462
"280",10:30:00,"1-10",2025-08-06,-6.18082121884864,106.861018432109
"281",10:45:00,"1-10",2025-08-06,-6.181205,106.860596
"282",11:00:00,"1-10",2025-08-06,-6.181519,106.860498
"283",11:30:00,"1-10",2025-08-06,-6.181414,106.860498
"284",12:00:00,"1-10",2025-08-06,-6.181495,106.860524
"285",12:15:00,"1-10",2025-08-06,-6.181585,106.860418
"286",12:30:00,"1-10",2025-08-06,-6.182433,106.861929
"287",22:00:00,"1-10",2025-08-06,-6.188571,106.862211
"288",22:15:00,"1-10",2025-08-06,-6.188571,106.862211
"289",02:45:00,"1-11",2025-08-08,-6.17866685859718,106.861222183036
"290",05:45:00,"1-11",2025-08-08,-6.18105,106.860719
"291",06:15:00,"1-11",2025-08-08,-6.18105,106.860719
"292",07:45:00,"1-11",2025-08-08,-6.181754,106.860364
"293",09:15:00,"1-11",2025-08-07,-6.18081723021989,106.860961000729
"294",12:00:00,"1-11",2025-08-07,-6.18082590526877,106.86108591084
"295",12:15:00,"1-11",2025-08-07,-6.18078107248502,106.860440373816
"296",12:30:00,"1-11",2025-08-07,-6.17842537822256,106.86019468624
"297",13:15:00,"1-11",2025-08-07,-6.18105,106.860719
"298",13:30:00,"1-11",2025-08-07,-6.181918,106.85856
"299",13:45:00,"1-11",2025-08-07,-6.180582,106.857093
"300",18:45:00,"1-11",2025-08-07,-6.18105,106.860719
"301",19:00:00,"1-11",2025-08-07,-6.181678,106.86048
"302",20:45:00,"1-11",2025-08-07,-6.18105,106.860719
"303",00:00:00,"1-12",2025-08-12,-6.18392727232438,106.858439234823
"304",00:15:00,"1-12",2025-08-12,-6.18354597005221,106.858664267924
"305",05:45:00,"1-12",2025-08-12,-6.18518351526,106.858223408263
"306",06:00:00,"1-12",2025-08-12,-6.18403355275535,106.858306207327
"307",06:15:00,"1-12",2025-08-12,-6.18507745203119,106.858545432614
"308",06:30:00,"1-12",2025-08-12,-6.181398,106.860729
"309",08:45:00,"1-12",2025-08-12,-6.18085733280252,106.861538429194
"310",12:15:00,"1-12",2025-08-11,-6.18089623162872,106.860792701469
"311",12:30:00,"1-12",2025-08-11,-6.18083119083653,106.861162016575
"312",12:45:00,"1-12",2025-08-11,-6.18423532860872,106.85867075666
"313",13:45:00,"1-12",2025-08-11,-6.18412364940581,106.858648460082
"314",14:00:00,"1-12",2025-08-11,-6.181398,106.860729
"315",20:15:00,"1-12",2025-08-11,-6.1837500145855,106.858867134249
"316",06:00:00,"1-2",2025-08-13,-6.175448,106.854155
"317",06:15:00,"1-2",2025-08-13,-6.17544799999999,106.854155
"318",06:30:00,"1-2",2025-08-13,-6.17592139082277,106.865870689656
"319",08:45:00,"1-2",2025-08-13,-6.18103513297928,106.861068277394
"320",09:00:00,"1-2",2025-08-12,-6.18085267660504,106.861471385576
"321",10:15:00,"1-2",2025-08-12,-6.18130988598448,106.860739965535
